Prompt,Category,Challenge,Note
an F1,Vehicles,Basic,
parallel lines,Illustrations,Basic,Math concepts
concentric circles,Illustrations,Basic,Math concepts
concurrent lines,Illustrations,Basic,Math concepts
congruent triangles,Illustrations,Basic,Math concepts
a hot air balloon,Vehicles,Basic,
a shiba inu,Animals,Basic,
an espresso machine,Artifacts,Basic,
a propaganda poster,Artifacts,Basic,
A bowl of Pho,Food & Beverage,Basic,
a snail,Animals,Basic,
brain coral,Animals,Basic,
a walnut,Produce & Plants,Basic,
a capybara,Animals,Basic,
a baby penguin,Animals,Basic,
a cup of boba,Food & Beverage,Basic,
A picture of some food in the plate,Food & Beverage,Basic,VQ-Diffusion
a chair,Artifacts,Basic,
a hedgehog,Animals,Basic,
a corgi,Animals,Basic,
a robot,Artifacts,Basic,
robots,Artifacts,Basic,
a fall landscape,Outdoor Scenes,Basic,
a sunset,Outdoor Scenes,Basic,
a boat,Vehicles,Basic,
a fox,Animals,Basic,
a red cube,Illustrations,Basic,
a panda,Animals,Basic,
a space elevator,Artifacts,Basic,GLIDE
a city,Outdoor Scenes,Basic,
a fog,Outdoor Scenes,Basic,
a clock,Artifacts,Basic,
a phone,Artifacts,Basic,
food,Food & Beverage,Basic,
a store front,Outdoor Scenes,Basic,
an armchair,Artifacts,Basic,
a teapot,Artifacts,Basic,
an illustration of a teapot,Artifacts,Basic,DALL-E
a tiger,Animals,Basic,
a bench,Artifacts,Basic,
an orange,Produce & Plants,Basic,
a laptop,Artifacts,Basic,
an owl,Animals,Basic,
a train,Vehicles,Basic,
a cow,Animals,Basic,
a submarine,Vehicles,Basic,
a whale,Animals,Basic,
a t-shirt,Artifacts,Basic,
a bowl,Artifacts,Basic,
a flag,Artifacts,Basic,
a cat,Animals,Basic,
a towel,Artifacts,Basic,
a wall,Artifacts,Basic,
a car,Vehicles,Basic,
a giraffe,Animals,Basic,
an eagle,Animals,Basic,
a kangaroo,Animals,Basic,
a canal,Outdoor Scenes,Basic,
lily pads,Produce & Plants,Basic,
a street,Outdoor Scenes,Basic,
a house,Outdoor Scenes,Basic,
a fish,Animals,Basic,
a city intersection,Outdoor Scenes,Basic,
a circle,Illustrations,Basic,
a red circle,Illustrations,Basic,
a box,Illustrations,Basic,
a yellow box,Illustrations,Basic,
a red box,Illustrations,Basic,
a sphere,Illustrations,Basic,
a red sphere,Illustrations,Basic,
a large blue box,Illustrations,Basic,
a blue metallic sphere,Illustrations,Basic,
a horse,Animals,Basic,
a pumpkin,Produce & Plants,Basic,
a sword,Artifacts,Basic,
a statue,Artifacts,Basic,
